Date,Delaware (DE),Florida (FL),Georgia (GA),Maryland (MD),North Carolina (NC),South Carolina (SC),Virginia (VA),District of Columbia (DC),West Virginia (WV),Alabama (AL),Kentucky (KY),Mississippi (MS),Tennessee (TN),Arkansas (AR),Louisiana (LA),Oklahoma (OK),Texas (TX)
2015-01-31,146.95348727,157.22178966,116.7964634,168.36996484,125.07942456,126.52406314,168.62328343,298.01094156,139.06898531,124.09217706,126.03648138,125.23390092,135.57915733,130.86213051,149.06826839,142.75972619,157.50787342
2015-02-28,146.86116602,158.59271031,117.77954039,168.83123243,126.28403252,127.72296705,168.89263066,300.09808787,139.43763258,124.83254601,126.33105046,125.38443368,136.19603279,130.85895527,150.04031305,143.09818283,158.70727362
2015-03-31,147.64803718,160.27913338,119.32720159,170.52681704,127.96710557,128.9988021,170.27645322,302.52181933,140.52119665,125.72712945,127.14155808,126.04125234,137.338222,131.20517805,151.44174044,143.52411856,160.52304251
2015-04-30,149.25906452,161.95302002,121.08398213,172.55318373,129.36774658,130.44616298,172.21200158,305.1616871,141.97749128,126.60845107,128.2443028,126.88327073,138.68741619,131.99468105,152.69406362,144.44683098,162.35767506
2015-05-31,151.17188994,164.13460106,122.68645498,174.45960964,130.4238763,132.12497539,174.11776936,307.79887805,143.24485826,127.45653648,129.45198121,127.58919497,140.1856825,133.14560019,153.70486281,146.16725243,164.08654856
2015-06-30,152.55440151,166.36860662,123.92246718,175.36653742,131.33815548,133.36068123,175.59358806,309.72801297,143.84530833,128.28050581,130.47776655,128.20323259,141.5061856,134.16731402,154.51272864,147.83433388,165.69426822
2015-07-31,153.05991406,168.02259213,124.45910047,175.35610495,131.93433733,133.67507775,176.02012249,310.99963127,143.77691924,128.8422039,131.19204677,128.64063988,142.35475352,134.89249697,155.07325571,148.42068864,166.7516576
2015-08-31,153.10428192,169.06382568,124.5031051,174.88625257,132.09342596,133.50544753,175.5942532,312.27277608,143.40045884,128.92461017,131.43493789,129.00526495,142.78631636,135.44903071,155.25435646,148.15081969,167.01169465
2015-09-30,153.13060112,169.87676631,124.5264955,173.96911005,131.96851125,133.5643112,175.18060925,313.62116621,142.91124336,128.53835933,131.18046325,129.28069503,142.93051507,135.81325912,155.05066648,147.67800545,167.16302685
2015-10-31,153.38859332,170.79146768,124.58014626,173.22303643,131.94729672,133.95743501,174.73540548,314.90397302,142.39248276,128.0454233,130.8832102,129.38259202,142.8297019,135.8408875,154.74877343,147.32336781,167.46390044
