Date,Arizona (AZ),Colorado (CO),Idaho (ID),Montana (MT),Nevada (NV),New Mexico (NM),Utah (UT),Wyoming (WY),Alaska (AK),California (CA),Hawaii (HI),Oregon (OR),Washington (WA)
2015-01-31,151.53331417,144.27315596,145.22241915,170.05277644,134.69914548,138.71745573,147.95803334,180.20837846,167.54059496,178.99799028,230.0475248,162.72377686,159.09050093
2015-02-28,152.40065157,146.34727798,146.51338814,170.53701376,135.52003902,138.87129735,149.39300664,180.17166413,168.06487678,180.42379985,231.08540566,163.96818845,160.903793
2015-03-31,153.6481629,148.80392438,148.42548427,172.13687789,136.86076494,139.49626002,151.28952158,180.68178729,169.18683794,182.99729324,231.9958989,166.44502678,163.74956743
2015-04-30,155.21196322,151.30336839,150.80866493,174.42602146,138.75255066,140.39904415,153.10791951,181.93845951,170.82001266,185.37560776,232.86687466,169.51635123,166.72911234
2015-05-31,156.79524722,153.6295992,153.08215373,176.44718376,140.90507931,141.58226745,154.77386407,183.80791903,172.5681542,187.29431972,233.87234524,172.77345862,169.15439574
2015-06-30,157.96187504,155.36558213,154.6911344,177.84948918,142.90108574,142.79094115,156.22548308,185.76967746,173.96057847,188.87559758,235.0222202,175.46747198,171.04377651
2015-07-31,158.83694632,156.45931513,155.69549866,178.84188965,144.38306614,143.43425799,157.22614361,187.08641865,174.68484313,189.9853341,236.20196445,177.2116715,172.62871526
2015-08-31,159.65098266,156.802397,156.29199473,179.28229542,145.39755399,143.34038748,157.79835871,187.192539,174.87765305,190.66613537,237.46579776,178.12143212,173.5778413
2015-09-30,160.57258349,156.82549402,156.53290649,178.97042218,146.31175052,143.09983465,158.21226233,186.27873032,174.69888183,190.89781233,238.67015028,178.51267507,173.83213964
2015-10-31,161.15151363,157.01317036,156.57348673,178.27270126,147.1853167,143.20134662,158.61891559,185.14801717,174.24500255,191.19604227,239.69730362,178.9075168,174.1738408
2015-11-30,161.28953839,157.02744777,156.61268724,177.73075969,147.71948246,143.42364552,158.80098905,184.15039989,173.84556382,191.77050594,240.73082668,179.51157667,174.77649554
2015-12-31,161.37764195,157.44601803,156.80850022,177.38676362,147.91400814,143.3119504,158.96851857,183.40820663,173.52294073,192.15448025,241.79606931,180.04962448,175.40198225
2016-01-31,161.85226978,158.917067,157.32331441,177.46926472,148.23674905,142.83506826,159.66532599,183.2109423,173.30049662,192.39960608,243.00941609,180.67406963,176.66430457
2016-02-29,163.27110469,161.1065471,158.45486874,178.32104592,149.16008669,142.53614741,160.80801046,183.5607942,173.46610627,194.02936305,244.52533918,182.10299016,179.16405926
2016-03-31,165.33079534,163.64807857,160.19874972,179.75830235,150.6845905,143.01605621,162.39736062,184.22161147,174.13518605,196.75443271,246.21240135,184.91020561,182.25083482
2016-04-30,166.96542661,166.29459876,162.31393645,181.4712014,152.34440528,144.36239531,164.71941961,185.0374318,175.13652011,198.82398202,247.80168608,188.7998186,185.40593438
2016-05-31,167.75796168,168.87951032,164.61451701,183.13759973,153.7416167,146.08375324,166.91873026,185.85432295,176.11693112,200.52053985,248.91732301,192.57171209,188.33775357
2016-06-30,168.3067732,170.6445119,166.7791592,184.56411764,155.12519024,147.33577546,168.33051861,186.57420121,176.59869566,201.92569588,249.58091096,195.20335294,190.43387935
2016-07-31,169.09498076,171.41180669,168.2206864,185.82619481,156.66700829,147.90351129,169.40856914,187.15785494,176.36715802,202.6495248,250.40583471,196.56261492,191.66441108
2016-08-31,169.89978596,171.55880327,168.87314792,186.84654496,157.95861612,148.09715627,170.04409097,187.59076868,175.60604437,203.05650119,251.4631081,197.25640265,192.32886919
2016-09-30,170.72966498,171.58008236,169.00413177,187.51818638,158.73253248,148.12916377,170.26721224,187.61204844,174.67751883,203.25230411,252.57592444,197.43529545,192.48555104
2016-10-31,171.83988509,171.76030735,168.83751948,187.75869135,159.23359958,148.13998874,170.29166086,186.91659081,173.96967629,203.47598495,254.01223577,197.09414371,192.45161691
2016-11-30,172.69291449,172.00734431,168.77335239,187.4610462,159.64915729,148.27933495,170.20480714,185.84173312,173.54335247,203.94602269,255.54348934,196.97960077,192.81231521
2016-12-31,173.2034715,172.87423561,169.185418,187.04474817,160.04866731,148.42910121,170.58229163,185.03885556,173.29863824,204.92372784,256.43452303,197.23351947,194.00277644
2017-01-31,173.9079043,174.67371239,170.29435859,187.28144647,160.79996384,148.24577776,171.82924787,184.92061433,173.42013075,206.20997855,256.73875602,198.1475646,196.05046846
2017-02-28,174.93880488,177.12953266,171.9917574,188.27822571,162.05727969,148.08447553,173.87409955,185.65517914,174.19226015,207.74792915,257.31099815,200.24805134,199.31211473
2017-03-31,176.60748087,179.90255534,174.34857179,189.77424953,163.79633512,148.76906732,176.38923733,187.05438813,175.44784526,209.91653696,258.65359665,203.16879056,203.74535681
2017-04-30,178.64826597,182.28204888,177.53244847,191.84288644,165.83962597,150.51901665,178.88474141,188.63556387,176.84420171,212.36405955,260.35680807,206.47929821,207.84013431
2017-05-31,180.09883832,183.99312166,180.81291702,194.27856315,167.99114803,152.584423,181.02334511,189.92956951,178.05657825,214.40509609,261.83857956,209.4750563,210.86738315
2017-06-30,181.19707724,185.32912098,182.99531207,196.71085399,170.26714668,153.81457708,182.80700201,190.71280924,178.82584003,215.8436588,262.92034094,211.16908628,213.34289896
2017-07-31,182.47944537,186.26943674,183.99774237,198.61490369,172.5904653,154.17793983,184.14043387,191.01063681,179.09750611,217.07324844,263.31980366,211.69646051,214.8234894
2017-08-31,183.44424567,186.57822964,184.63183648,199.19340645,174.56342073,154.25165429,184.85473477,191.09715059,178.98380607,218.22474434,263.11204804,211.99588831,215.28499507
2017-09-30,183.84547438,186.76642079,185.4175857,198.55933772,176.01414339,154.21952641,185.08243681,191.22320144,178.55510974,219.02173524,263.39641052,212.11047336,215.68683599
2017-10-31,184.31571221,187.14583569,186.05374113,197.70352005,177.40939393,154.12109629,185.46871961,191.33701972,177.72555658,219.39346013,264.92342841,211.75504667,216.18726422
2017-11-30,185.25319819,187.34826716,186.35294286,197.27381743,178.99071272,154.07975515,186.25120257,191.36060749,176.75977246,219.86069821,266.83533452,211.14140707,217.13310799
2017-12-31,186.24733947,188.29956454,187.00564134,197.59739039,180.38483922,154.26897793,187.00634092,191.50844643,176.13883794,220.81896141,268.24363092,211.15061223,218.51131271
2018-01-31,187.17680123,190.70695912,188.9493011,198.87844819,181.70398614,154.62028452,188.1013089,191.82649822,176.15153937,222.6174733,269.39936042,212.54365159,220.92428557
2018-02-28,188.7405284,193.70396303,192.16040836,201.01932497,183.77836178,155.3961476,190.53340012,192.18572322,176.77098837,225.06796564,270.42917495,215.31702777,224.81611775
2018-03-31,190.69391205,196.24110845,195.73786975,203.66656421,186.93811524,156.77099362,194.02109021,192.90639684,177.78511449,227.27908649,271.17352273,218.50639942,228.78828797
