RegionID,SizeRank,RegionName,RegionType,StateName,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30
102001,0,United States,Country,"",1426397.0,1383906.0,1441048.0,1527950.0,1629488.0,1702928.0,1754075.0,1778632.0,1767533.0,1747062.0,1690115.0,1593189.0,1505003.0,1456490.0,1502950.0,1569397.0,1661636.0,1733260.0,1777903.0,1788407.0,1769611.0,1739592.0,1666157.0,1550091.0,1446610.0,1396717.0,1422331.0,1409811.0,1431105.0,1429933.0,1454172.0,1424235.0,1379006.0,1338265.0,1260282.0,1150989.0,1057433.0,977885.0,967256.0,949788.0
394913,1,"New York, NY",Msa,NY,68575.0,68132.0,72655.0,79566.0,85571.0,90094.0,92200.0,91703.0,90473.0,89709.0,87476.0,82261.0,77014.0,74793.0,78474.0,84310.0,91121.0,95737.0,97294.0,95790.0,94040.0,92028.0,88515.0,81482.0,75069.0,72643.0,74852.0,72503.0,70717.0,70287.0,76404.0,80346.0,81775.0,80888.0,77552.0,70941.0,64313.0,60050.0,59409.0,60205.0
753899,2,"Los Angeles-Long Beach-Anaheim, CA",Msa,CA,20153.0,19986.0,21953.0,23882.0,25855.0,27449.0,29152.0,30220.0,30765.0,30990.0,30469.0,28699.0,27066.0,26234.0,27531.0,28810.0,30490.0,31413.0,32109.0,31955.0,31419.0,30440.0,28397.0,25168.0,22395.0,21342.0,21894.0,21581.0,22002.0,22995.0,25045.0,26022.0,26415.0,26403.0,25334.0,23004.0,20756.0,19531.0,20053.0,20410.0
394463,3,"Chicago, IL",Msa,IL,43034.0,41384.0,45056.0,49612.0,54147.0,56495.0,58394.0,59368.0,59210.0,58454.0,55696.0,50854.0,46124.0,44318.0,47328.0,52328.0,57243.0,60415.0,61758.0,62230.0,61896.0,60853.0,57604.0,52145.0,47386.0,46028.0,47885.0,47807.0,48190.0,48729.0,51277.0,51927.0,51050.0,49750.0,46523.0,41657.0,37046.0,33383.0,33003.0,33350.0
394514,4,"Dallas-Fort Worth, TX",Msa,TX,24283.0,23203.0,24345.0,26749.0,29538.0,31955.0,33918.0,35089.0,35141.0,34278.0,33045.0,31080.0,29607.0,28931.0,30484.0,32445.0,34882.0,37292.0,39353.0,40407.0,39837.0,38705.0,36959.0,34552.0,32346.0,31448.0,32138.0,32267.0,33239.0,33815.0,34703.0,33521.0,31439.0,30134.0,28398.0,26348.0,23952.0,21761.0,21306.0,20957.0
394974,5,"Philadelphia, PA",Msa,PA,26163.0,24718.0,25715.0,27948.0,30197.0,31306.0,31000.0,30122.0,29338.0,29133.0,28514.0,26942.0,25202.0,24047.0,25022.0,26718.0,28652.0,29745.0,30281.0,29796.0,29068.0,28112.0,26946.0,24847.0,22690.0,21667.0,21816.0,20737.0,20468.0,20682.0,22081.0,22264.0,21633.0,21176.0,20147.0,18413.0,16731.0,15451.0,15818.0,16475.0
394692,6,"Houston, TX",Msa,TX,32985.0,32147.0,33766.0,35826.0,38655.0,40336.0,41647.0,42086.0,41349.0,40317.0,38765.0,37122.0,36112.0,35806.0,37384.0,38962.0,41059.0,43275.0,45110.0,46141.0,45294.0,43961.0,42092.0,40161.0,38870.0,38671.0,39756.0,39863.0,40550.0,40348.0,40349.0,38650.0,36700.0,35156.0,33132.0,30955.0,29325.0,27767.0,27491.0,26195.0
395209,7,"Washington, DC",Msa,DC,22169.0,20891.0,22460.0,25804.0,28735.0,28895.0,27640.0,26110.0,25707.0,25519.0,24616.0,22276.0,19451.0,17750.0,18851.0,21174.0,23920.0,25376.0,25649.0,24792.0,24092.0,23609.0,22545.0,20045.0,17725.0,16794.0,17996.0,18521.0,19201.0,18915.0,19295.0,19023.0,19030.0,19098.0,18418.0,16586.0,14700.0,13527.0,14404.0,15851.0
394856,8,"Miami-Fort Lauderdale, FL",Msa,FL,61075.0,62721.0,65818.0,67113.0,67572.0,66021.0,64597.0,63481.0,62926.0,63433.0,64091.0,64559.0,66017.0,67963.0,70824.0,71333.0,70945.0,69348.0,67787.0,66018.0,64438.0,63861.0,63501.0,63100.0,63327.0,64071.0,65045.0,62900.0,61568.0,60789.0,61367.0,60587.0,59551.0,59272.0,58357.0,56850.0,55124.0,51616.0,47715.0,42573.0
394347,9,"Atlanta, GA",Msa,GA,32435.0,31210.0,32416.0,33928.0,35692.0,37346.0,38973.0,40149.0,39923.0,39398.0,38198.0,36428.0,35015.0,35841.0,37695.0,39529.0,40604.0,42431.0,43934.0,44789.0,44702.0,44409.0,43002.0,40753.0,38927.0,38213.0,39298.0,39642.0,41049.0,41291.0,41277.0,39586.0,37385.0,35786.0,33465.0,30855.0,28146.0,25772.0,24906.0,23927.0
394404,10,"Boston, MA",Msa,MA,10531.0,9498.0,10074.0,11708.0,14014.0,15894.0,16772.0,16635.0,16756.0,17161.0,16901.0,15058.0,13011.0,11829.0,12612.0,14109.0,16395.0,17939.0,18306.0,17445.0,17038.0,17072.0,16466.0,14080.0,11591.0,10503.0,11153.0,11435.0,12256.0,13138.0,14385.0,14592.0,14515.0,14496.0,13687.0,11604.0,9495.0,8252.0,8773.0,9679.0
395057,11,"San Francisco, CA",Msa,CA,4445.0,4267.0,5241.0,6320.0,7338.0,7888.0,8166.0,8166.0,8452.0,8897.0,8788.0,7639.0,6397.0,5998.0,6786.0,7822.0,8823.0,9346.0,9506.0,9174.0,9173.0,9200.0,8699.0,7099.0,5570.0,5203.0,5748.0,5969.0,6510.0,7297.0,8584.0,9181.0,9587.0,9980.0,9609.0,8348.0,6911.0,6483.0,7099.0,7778.0
394532,12,"Detroit, MI",Msa,MI,15146.0,13974.0,14217.0,15159.0,16866.0,18461.0,19908.0,21165.0,21773.0,21959.0,21139.0,19637.0,18079.0,16849.0,16885.0,17455.0,18998.0,20675.0,22265.0,23432.0,23967.0,23959.0,22827.0,20862.0,18899.0,17626.0,17174.0,15680.0,16123.0,16789.0,18562.0,18512.0,17966.0,17367.0,15970.0,14172.0,12462.0,11155.0,10968.0,10993.0
