RegionID,SizeRank,RegionName,RegionType,StateName,2/29/2008,3/31/2008,4/30/2008,5/31/2008,6/30/2008,7/31/2008,8/31/2008,9/30/2008,10/31/2008,11/30/2008,12/31/2008,1/31/2009,2/28/2009,3/31/2009,4/30/2009,5/31/2009,6/30/2009,7/31/2009,8/31/2009,9/30/2009,10/31/2009,11/30/2009,12/31/2009,1/31/2010,2/28/2010,3/31/2010,4/30/2010,5/31/2010,6/30/2010,7/31/2010,8/31/2010,9/30/2010,10/31/2010,11/30/2010,12/31/2010,1/31/2011,2/28/2011,3/31/2011,4/30/2011,5/31/2011,6/30/2011,7/31/2011,8/31/2011,9/30/2011,10/31/2011,11/30/2011,12/31/2011,1/31/2012,2/29/2012,3/31/2012,4/30/2012,5/31/2012,6/30/2012,7/31/2012,8/31/2012,9/30/2012,10/31/2012,11/30/2012,12/31/2012,1/31/2013,2/28/2013,3/31/2013,4/30/2013,5/31/2013,6/30/2013,7/31/2013,8/31/2013,9/30/2013,10/31/2013,11/30/2013,12/31/2013,1/31/2014,2/28/2014,3/31/2014,4/30/2014,5/31/2014,6/30/2014,7/31/2014,8/31/2014,9/30/2014,10/31/2014,11/30/2014,12/31/2014,1/31/2015,2/28/2015,3/31/2015,4/30/2015,5/31/2015,6/30/2015,7/31/2015,8/31/2015,9/30/2015,10/31/2015,11/30/2015,12/31/2015,1/31/2016,2/29/2016,3/31/2016,4/30/2016,5/31/2016,6/30/2016,7/31/2016,8/31/2016,9/30/2016,10/31/2016,11/30/2016,12/31/2016,1/31/2017,2/28/2017,3/31/2017,4/30/2017,5/31/2017,6/30/2017,7/31/2017,8/31/2017,9/30/2017,10/31/2017,11/30/2017,12/31/2017,1/31/2018,2/28/2018,3/31/2018,4/30/2018,5/31/2018,6/30/2018,7/31/2018,8/31/2018,9/30/2018,10/31/2018,11/30/2018,12/31/2018,1/31/2019,2/28/2019,3/31/2019,4/30/2019,5/31/2019,6/30/2019,7/31/2019,8/31/2019,9/30/2019,10/31/2019,11/30/2019,12/31/2019,1/31/2020,2/29/2020,3/31/2020,4/30/2020,5/31/2020,6/30/2020,7/31/2020,8/31/2020,9/30/2020,10/31/2020,11/30/2020,12/31/2020,1/31/2021,2/28/2021,3/31/2021,4/30/2021
102001,0,United States,Country,,183967,217846,239799,258446,273705,278575,255024,235204,226921,160961,178568,121300,126810,169693,181619,201855,251489,265721,247286,242932,252823,243892,233275,146903,147264,231024,247901,267193,310553,222575,211018,217666,189103,181062,199214,150904,144121,203547,207500,228747,261746,236994,259514,226741,209797,202348,217794,170468,177411,229738,240728,284824,298695,287197,308741,249736,281185,254256,256759,214687,206113,266574,305967,351535,351253,379902,374537,319622,321509,272168,284066,220067,209330,264131,303615,341809,371987,383391,359080,336960,345859,267587,314655,223154,224801,317262,342543,373237,445813,442294,403978,384643,363436,284323,348292,251412,262862,349729,371438,421721,484997,428906,459123,412608,379160,359240,374655,284741,272651,392962,379105,465066,511060,440907,476044,403829,406161,371474,372415,291607,277006,382786,405636,470682,496020,470012,484951,383926,413966,362478,341188,270802,280611,359635,403478,470160,456339,474811,463632,400164,416444,353634,376266,295208,288863,369263,326511,313547,425470,504566,487233,487819,498086,427068,464276,333199,317748,429815,452664
394913,1,"New York, NY",Msa,NY,8148,8851,9571,9853,10357,12789,11736,11012,9972,7905,8380,6123,5027,5954,6106,7038,8058,9988,10706,10654,10212,12438,11209,8104,6349,,,,,,,,,7681,7844,7259,6761,7762,7551,8139,9510,10113,10493,9462,8252,7417,8218,7580,6541,7209,7476,8862,9737,10850,11270,9871,9400,8105,9325,9453,7612,8532,9288,11662,12013,14754,15446,14668,13757,11095,11984,10462,7891,8978,9312,11098,11818,14174,13870,13039,13119,10307,12557,9802,8743,10027,10108,11045,13786,15920,16370,15100,14290,12259,13626,11475,10859,12326,11641,12451,16061,16013,18174,16901,14914,14170,15635,14395,11727,13539,13144,15223,17981,16918,20308,17625,16835,14739,15343,14092,11633,12472,13733,15595,16979,18675,20168,15781,17012,14844,14676,13751,11042,12246,13427,15260,16319,18781,18716,16335,16711,14542,15878,14818,12533,12833,10011,10391,12683,15211,17261,18356,21274,18842,22099,18251,15643,19814,15528
753899,2,"Los Angeles-Long Beach-Anaheim, CA",Msa,CA,3625,4381,5197,5706,5867,6508,6166,5839,5931,4353,4844,3245,3441,4871,5286,5818,7211,7700,6948,7190,7452,6543,7798,5158,5076,7318,7218,8362,8931,7106,6780,6847,6153,6039,7011,5069,4891,6966,6765,6776,7611,6793,7241,6813,6173,6274,7002,5271,5701,7599,7536,8619,8960,8445,9776,7896,9178,8567,9210,6644,6748,8920,9272,10474,9708,10486,10669,8726,9151,7835,8550,6478,6273,8037,9008,9337,9411,9545,9256,8522,9079,7216,8573,6054,6226,9086,9886,9947,11190,11132,9769,9527,9189,7012,9667,6766,6758,9078,9696,10273,11175,10113,10657,9921,9272,9104,9551,7118,6721,10069,9156,10891,12031,9864,11328,9875,9468,8847,9196,6784,6668,9821,9314,10327,10704,9806,10305,7734,8614,7643,7255,5532,5842,7967,8931,9896,9453,9820,9999,8842,9423,8138,8780,6668,6649,8012,5843,4795,7034,9535,9627,10288,10678,9066,10398,7498,7359,10312,13274
394463,3,"Chicago, IL",Msa,IL,5008,6079,6794,6718,7833,8321,7675,7073,6563,4251,4471,3155,2699,3792,4260,4756,6071,7277,7308,6867,7263,6518,6778,4442,3523,5288,6311,7007,8649,6651,5718,4839,4693,4228,4797,4056,3295,4822,4796,5778,7133,6268,7248,5731,5468,5340,5765,4927,4351,5646,5882,7545,8585,7684,8879,6884,7890,6681,6446,6492,5110,6313,8244,9433,9764,11751,11579,9529,10678,8369,8462,7158,5857,7123,9265,10172,11987,12600,10805,11440,11438,8006,9398,6619,6146,8436,9821,10928,14975,13774,13805,12481,11625,8042,9789,7606,7268,9639,10928,12684,16074,14019,14895,12042,10920,9922,9880,8098,6869,10911,11461,14301,16169,13317,14520,11482,11069,9887,9279,7759,6320,10436,12535,14944,17091,15395,14871,11914,12272,10739,9404,7004,7089,9478,11255,13336,14210,14057,13298,11227,10855,9244,9375,7462,6889,8733,9226,8539,10794,13934,14129,14531,18282,15365,14042,11931,10477,13688,19548
394514,4,"Dallas-Fort Worth, TX",Msa,TX,5004,6092,6879,7097,7317,7681,6922,6190,5842,3945,4729,3278,3740,5029,5186,5435,6596,6905,6085,5770,5840,5677,5361,3128,3596,5955,6567,6851,7182,5241,5069,4584,4266,4314,4600,3294,3323,5085,5161,6108,6547,5759,6602,5254,4855,4581,5014,3708,4375,5805,5621,7374,7464,7336,7797,5671,6417,5482,5846,4785,4837,6923,8460,8755,8582,9492,9193,7349,7128,5913,6488,4660,5244,6766,7767,8491,9465,9371,8829,7734,7790,5997,7147,4691,5012,7725,7740,8745,10141,10073,9551,8580,7687,6173,8355,5402,6347,8614,8430,9350,10275,9450,10341,9164,7987,7721,8336,5704,6303,8972,8590,10413,10936,10108,10230,8640,8395,7918,8349,6163,6381,8605,8847,10177,10101,10195,9997,7661,8007,6995,7268,5159,6231,8210,9007,10286,9319,10300,9785,8481,8489,7187,8546,6140,6977,8719,7503,7249,10507,12387,11215,10251,9817,8729,9979,6484,6113,8720,8525
394974,5,"Philadelphia, PA",Msa,PA,3744,4587,5493,5401,6014,6857,5970,5564,5080,4056,4355,3116,2567,3407,3822,3976,5244,6115,5899,5565,5457,5637,5978,3086,2481,4146,4662,5505,7193,5577,4160,3869,3647,3407,3943,3051,2575,3539,3472,4089,4930,4485,5119,4001,4024,3590,3988,3374,3007,3683,3828,5243,5293,5630,5974,4053,4893,4691,4545,4413,3305,4093,5027,5916,6290,7290,6563,5594,5722,4654,5226,3833,3031,3793,4511,5300,6847,6493,6268,5818,5615,4733,5731,4042,3554,4852,5342,6104,8054,8747,7279,6677,6647,5079,6347,4676,4462,5287,5859,7429,9055,7842,8096,6985,6542,6458,6521,5191,4247,6341,6380,8290,9399,8520,8843,7140,7099,6944,6783,5639,4098,5657,6564,8315,9183,9036,8945,7340,7797,6909,6538,5427,4667,5905,6675,8144,8734,8942,8497,7206,7383,6167,6812,5699,4553,6064,5415,4874,6075,8688,9280,9032,9638,8816,8905,7430,6319,8348,8105
394692,6,"Houston, TX",Msa,TX,4306,5374,5654,5977,6436,6516,5779,3866,4662,3410,4480,3057,3353,4390,4262,4587,5565,5993,5131,4791,4983,4781,4948,2596,3102,4966,5198,5756,6173,4612,4385,3838,3388,3315,3597,2910,2899,4418,4476,5217,5711,5112,5486,4323,3814,3622,4324,3147,3288,4710,4626,5949,5890,6203,5263,4017,5133,5267,4618,4102,4278,5506,6451,7317,6681,7478,7498,6266,6025,4780,5583,,,,,,,7785,6713,7329,6966,5403,6754,4566,4613,6268,6148,6577,7863,7913,6318,7137,6310,4877,6721,4447,4970,7002,6564,7720,8458,7647,8548,6883,6232,6130,6993,4595,5626,7508,6828,8378,8770,7741,6752,6948,6857,6503,7195,5165,5686,6989,7557,8743,8873,8595,8530,6726,7118,6056,6647,4473,5123,6965,7622,8901,8308,9076,8542,7312,7469,6466,7787,5091,5925,7784,6317,6252,9087,10649,9081,9058,9107,8025,9780,6231,5887,9275,9003
395209,7,"Washington, DC",Msa,DC,3773,4547,4874,5294,6337,5796,5389,5242,5362,3938,4778,2642,2973,4490,4857,5261,7535,6015,6635,6261,5957,6027,5943,4422,3635,5829,6056,7184,8286,5416,6750,5376,4891,4727,5200,3906,3365,4934,4950,5717,7116,5759,6115,5149,4735,4511,5004,4031,3830,5062,5336,6883,7560,6587,7549,4962,5837,6338,5590,5288,4490,5814,6815,8238,9289,8063,8298,6714,6955,5664,6542,4573,4378,5815,6566,6988,8641,7929,7354,6611,6631,5499,6931,4619,4482,6247,7008,7865,10243,9168,8403,7215,7174,5786,8038,4674,5400,6957,7504,9254,10948,9019,9456,7852,7434,7412,7910,6077,5923,8122,8422,10310,11723,9166,9399,8240,8194,7545,7603,6247,5656,7751,8171,10200,11458,9998,9907,7548,8304,7477,7452,6525,5570,7636,8872,10316,10476,9824,9425,7743,8891,7105,7935,6578,6025,8011,7808,7388,9443,10408,9969,10081,10300,9094,10012,7295,7348,8703,10033
394856,8,"Miami-Fort Lauderdale, FL",Msa,FL,4016,4418,4950,4906,4870,4653,3925,3923,3900,2973,3858,2896,2825,3824,3926,4082,4876,4909,4729,4853,5512,4932,6027,4522,4125,6133,6166,5768,6486,5820,5024,4714,4828,4638,5841,4628,4612,6496,6833,6750,6909,5937,6452,6012,5212,5697,6482,5336,5239,6931,7316,7748,7320,6845,7074,6299,6951,6200,7152,6476,6254,7811,8719,8727,8598,8938,8144,7257,7767,6296,7632,6065,5677,7342,8375,8309,8091,8163,7406,7330,7941,6400,8272,5863,5938,8270,8829,8493,9482,9549,8295,8355,7852,6648,8820,6125,6605,8693,8928,9261,10012,9105,9165,8390,7809,7690,9082,6730,6860,9748,9243,10391,10573,9015,9914,6111,8565,7685,8686,7435,6893,10134,10432,10448,10955,10201,9865,8053,8925,8075,8063,6578,6539,8967,9847,10971,9570,10504,9291,8226,8687,7391,8909,7882,6344,9472,7298,5279,7139,9347,9780,9709,10669,9067,11582,9104,8884,13764,16951
394347,9,"Atlanta, GA",Msa,GA,5123,5668,6173,5947,6468,6626,6090,5327,5888,3573,4229,3050,2783,3834,3933,3834,4878,5433,4951,4791,5118,4749,5273,3273,3165,4575,4992,5290,6267,5066,4268,4049,4005,3597,3881,3184,2986,4764,4245,4961,5822,6423,5385,4539,4133,3863,3921,3687,3743,4667,4535,5317,5788,5343,5799,4729,5226,4940,4581,4518,4486,5737,6069,7186,7081,7622,7450,6330,6391,5575,5629,4895,4937,6195,6836,8065,8443,8307,7972,7346,7503,6017,6942,5454,5764,8097,8726,9460,10396,10290,9388,8730,7992,6574,8191,6259,7169,9620,10275,12150,13185,12146,12526,11319,10338,9683,10804,7307,8056,12476,11031,13364,14004,12002,12463,10985,10389,9585,10494,7173,8480,11880,11735,13465,13393,12663,12484,10511,10440,9703,9525,7036,8618,11172,11887,13693,12633,12697,12161,10523,10574,9292,10567,7196,8777,10641,9234,8874,12399,13516,12641,12259,12312,10415,11632,7895,8761,11513,13685
