Date,Midwest,Northeast,South,West
2/29/2020,148165.6833,203349.25,148456.0368,336791.5771
3/31/2020,148529.6406,204194.54,148899.4306,338371.68
4/30/2020,148939.2456,204985.93,149313.4136,339683.1257
5/31/2020,149533.5429,205770.45,149433.8029,341016.4857
6/30/2020,149975.1352,206698.16,150065.4744,341532.9195
7/31/2020,150509.8007,207902.69,150655.1761,344262.8571
8/31/2020,151151.9146,209447.52,151621.3343,346863.7886
9/30/2020,151903.6797,211235.51,152459.9518,349957.7371
10/31/2020,152766.2562,213315.32,153426.6176,353492.7657
11/30/2020,153963.5943,215763.13,154647.3569,357496.84
12/31/2020,155243.2669,218334.55,155922.4504,361767.2457
1/31/2021,156563.4093,220942.19,157230.1983,366058.9429
2/28/2021,157588.9857,224059.798,158588.4136,370642.84
3/31/2021,159210.3737,226526.64,160063.0878,375629.0343
4/30/2021,160640.4128,229807,161697.5779,381404.6
