Date,United States,"New York, NY","Los Angeles-Long Beach-Anaheim, CA","Chicago, IL","Dallas-Fort Worth, TX","Philadelphia, PA","Houston, TX","Washington, DC","Miami-Fort Lauderdale, FL","Atlanta, GA","Boston, MA","San Francisco, CA","Detroit, MI","Riverside, CA","Phoenix, AZ","Seattle, WA","Minneapolis-St Paul, MN","San Diego, CA","St. Louis, MO","Tampa, FL","Baltimore, MD","Denver, CO","Pittsburgh, PA","Portland, OR","Charlotte, NC","Sacramento, CA","San Antonio, TX","Orlando, FL","Cincinnati, OH","Cleveland, OH","Kansas City, MO","Las Vegas, NV","Columbus, OH","Indianapolis, IN","San Jose, CA","Austin, TX","Virginia Beach, VA","Nashville, TN","Providence, RI","Milwaukee, WI","Jacksonville, FL","Memphis, TN","Oklahoma City, OK","Louisville-Jefferson County, KY","Hartford, CT","Richmond, VA","New Orleans, LA","Buffalo, NY","Raleigh, NC","Birmingham, AL","Salt Lake City, UT","Rochester, NY","Grand Rapids, MI","Tucson, AZ","Urban Honolulu, HI","Tulsa, OK","Fresno, CA","Worcester, MA","Stamford, CT","Albuquerque, NM","Albany, NY","Omaha, NE","New Haven, CT","Bakersfield, CA","Knoxville, TN","Greenville, SC","Ventura, CA","Allentown, PA","El Paso, TX","Baton Rouge, LA","Dayton, OH","McAllen, TX","Columbia, SC","Greensboro, NC","Akron, OH","North Port-Sarasota-Bradenton, FL","Little Rock, AR","Stockton, CA","Charleston, SC","Syracuse, NY","Colorado Springs, CO","Winston-Salem, NC","Wichita, KS","Springfield, MA","Fort Myers, FL","Boise City, ID","Toledo, OH","Madison, WI","Lakeland, FL","Ogden, UT","Daytona Beach, FL","Des Moines, IA","Jackson, MS","Augusta, GA","Harrisburg, PA","Provo, UT","Fort Collins, CO"
2018-01-31_x,1426397,68575,20153,43034,24283,26163,32985,22169,61075,32435,10531,4445,15146,17510,25698,7622,10304,6477,12945,18218,12891,10724,10721,7664,10158,5745,11343,12241,8015,12011,9205,11815,5310,7229,1304,7955,11858,8702,5955,3808,9774,5739,8455,4494,5870,4956,3839,2808,6311,6211,2587,3075,3287,4952,3481,5741,1920,2915,5707,3822,2664,3036,4067,2516,4497,5643,1608,3795,4534,4130,2886,2150,5200,2900,4025,9280,4908,1323,5750,2597,1899,2600,2687,1791,14368,3481,2427,2313,4163,1640,5548,3719,2814,3712,2430,1878,2307
2018-01-31_y,291607,14092,6784,7759,6163,5639,5165,6247,7435,7173,3793,2374,4985,4817,7127,3914,3647,2398,2571,4803,2851,3637,1862,2447,3608,2429,1950,3854,2074,1465,2068,3458,1798,1953,895,1890,1586,3024,1213,859,2116,1068,1362,1388,882,1322,748,851,1787,1050,1180,942,1354,1189,642,1012,716,819,752,832,519,957,616,797,1079,949,603,727,534,721,768,204,827,650,491,1805,690,589,1277,519,1220,664,303,435,1746,1015,341,557,1013,646,1107,765,345,742,527,524,466
2018-02-28_x,1383906,68132,19986,41384,23203,24718,32147,20891,62721,31210,9498,4267,13974,17621,25927,6641,9526,6431,12340,18496,12211,10134,10176,6999,9969,5398,11205,12252,7636,11371,8752,11637,4897,6775,1319,7577,11477,8403,5434,3521,10019,5573,8196,4306,5260,4787,3818,2532,6186,6137,2555,2838,2919,4974,3450,5618,1883,2633,5311,3636,2460,2907,3660,2559,4341,5479,1565,3571,4565,4193,2755,2160,4991,2823,3782,9870,4769,1262,5751,2410,1847,2539,2553,1649,15300,3170,2324,2164,4211,1566,5656,3689,2821,3625,2226,1755,2136
2018-02-28_y,277006,11633,6668,6320,6381,4098,5686,5656,6893,8480,2805,2597,3756,4679,7932,4352,3058,2479,2349,4447,2298,3517,1550,2737,3865,2413,2017,3402,1774,1379,2008,3007,1645,1952,985,2113,1611,2963,1067,729,2124,1070,1333,1438,755,1348,786,754,1803,1298,1202,728,964,1393,563,1005,786,587,618,791,377,863,511,762,1093,1060,554,582,565,784,613,213,913,711,489,1809,749,585,1126,391,1220,656,265,342,1628,1109,326,478,873,735,1191,741,327,807,409,588,421
2018-03-31_x,1441048,72655,21953,45056,24345,25715,33766,22460,65818,32416,10074,5241,14217,18603,27529,7180,10342,7159,12819,19650,12706,11266,10330,7296,10956,5831,11885,12851,7849,11700,9140,12168,5069,7111,1686,8158,11793,8796,5418,3651,10822,5684,8385,4493,5159,5071,4035,2541,6624,6381,2796,2917,2949,5181,3682,5736,2007,2664,5463,3712,2474,3065,3597,2761,4411,5730,1703,3606,4622,4441,2822,2225,5042,2908,3879,10609,4919,1339,6132,2420,2054,2709,2573,1672,16403,3215,2358,2346,4395,1660,5927,4053,2967,3698,2257,1825,2265
2018-03-31_y,382786,12472,9821,10436,8605,5657,6989,7751,10134,11880,4172,4010,4890,6441,10822,5769,4473,3190,3422,6384,3065,5120,2387,3555,5274,3161,2708,4555,2718,2091,2989,4833,2307,2635,1493,2810,2358,4052,1445,1204,2941,1476,1959,1762,1011,1927,1007,718,2684,1721,1637,939,1470,1866,821,1383,1005,830,788,1162,549,1052,622,1057,1446,1320,825,810,725,1089,953,255,1317,950,735,2464,1021,819,1706,463,1663,930,443,416,2468,1478,445,742,1132,897,1571,1093,494,995,602,665,598
2018-04-30_x,1527950,79566,23882,49612,26749,27948,35826,25804,67113,33928,11708,6320,15159,19464,28565,8158,11759,7948,13634,20402,13885,12739,10760,8069,11856,6509,12721,13301,8256,12430,9937,12719,5477,7497,2090,9160,12474,9483,5876,4015,11607,5904,8599,4731,5582,5548,4235,2672,7125,6686,3178,3201,3155,5185,3923,5886,2150,2940,6358,3894,2582,3292,3896,2972,4581,5918,1879,3792,4627,4689,2979,2258,5200,3091,4131,10831,5164,1440,6516,2574,2384,2969,2640,1802,16544,3546,2425,2739,4502,1817,6155,4237,3137,3785,2371,2065,2520
2018-04-30_y,405636,13733,9314,12535,8847,6564,7557,8171,10432,11735,4609,4118,5176,6469,10298,6059,5068,3475,3795,6749,3629,5396,2707,3727,5349,3533,2967,4810,3174,2210,3056,4271,2280,3087,1556,2938,2442,4435,1549,1394,3212,1580,1900,2010,1172,2005,1181,880,2807,1781,1564,975,1495,1878,865,1449,1018,949,931,1194,592,1232,813,981,1631,1481,733,982,822,1078,1131,276,1287,1015,782,2784,1097,726,1654,544,1664,972,430,465,2679,1524,483,901,1354,868,1680,1283,496,978,671,698,662
2018-05-31_x,1629488,85571,25855,54147,29538,30197,38655,28735,67572,35692,14014,7338,16866,20289,28970,10042,13581,8749,14634,20962,15117,14542,11372,9334,12778,7451,13431,13772,8962,13435,11061,11967,6233,7807,2510,10295,13261,10323,6602,4525,12146,6224,8995,5049,6245,5967,4439,2988,7672,6958,3695,3574,3552,5190,4146,6079,2318,3362,7160,4158,2812,3597,4298,3143,4803,6144,2112,4096,4551,4963,3150,2302,5370,3354,4455,10607,5520,1598,6855,2801,2885,3292,2780,2005,16247,3821,2528,3171,4566,2097,6334,4455,3349,3891,2525,2551,2870
2018-05-31_y,470682,15595,10327,14944,10177,8315,8743,10200,10448,13465,5873,4644,6713,7013,11458,7049,6328,3727,4693,7307,3952,6106,3172,4189,5973,3789,3415,5575,3254,2784,3857,4605,2754,3629,1719,3495,2936,4723,1969,1722,3472,1862,2373,2293,1507,2369,1336,1049,3078,2103,1768,1256,1977,1996,884,1643,1127,1155,1077,1305,662,1572,935,1198,1856,1722,926,1174,891,1206,1111,295,1505,1185,1018,2853,1320,867,1932,699,1989,1178,582,632,2788,1930,645,1040,1495,1013,1907,1566,668,1201,763,805,851
2018-06-30_x,1702928,90094,27449,56495,31955,31306,40336,28895,66021,37346,15894,7888,18461,20933,28357,11626,15128,9301,15294,20941,15520,16178,11892,10581,13155,8216,13887,13938,9466,14172,12082,10978,6860,7972,2750,11093,13783,11054,7353,4806,12437,6521,9203,5394,6886,6226,4514,3255,8009,7183,4133,3892,3917,5042,4222,6280,2430,3744,7746,4388,3001,3855,4564,3306,4940,6180,2306,4395,4420,5209,3298,2284,5412,3451,4674,10072,5772,1714,6973,3022,3344,3383,2926,2202,15282,4025,2609,3474,4537,2297,6402,4456,3436,3921,2615,2992,3126
2018-06-30_y,496020,16979,10704,17091,10101,9183,8873,11458,10955,13393,8008,4818,6816,6867,10696,7493,7397,3739,4868,7319,5354,6603,3584,4461,6330,3699,3400,5355,3779,2982,4110,4688,2981,3680,1553,3520,3067,4847,2298,1844,3421,1936,2356,2402,1776,2733,1251,1193,3395,2143,1867,1538,2075,1927,951,1612,1176,1509,1414,1284,767,1754,1223,1206,1877,1693,853,1295,889,1152,1269,281,1567,1299,947,2606,1207,880,2057,754,2096,1252,543,813,2326,1948,679,1285,1441,1040,1823,1629,691,1277,880,870,908
2018-07-31_x,1754075,92200,29152,58394,33918,31000,41647,27640,64597,38973,16772,8166,19908,21602,27121,13019,16240,9867,15763,20555,15276,17177,12198,11514,13592,8783,14240,13969,9980,14728,12567,11055,7400,8241,2955,11514,13956,11585,7890,4972,12681,6805,9332,5765,7036,6293,4556,3552,8039,7244,4449,4082,4269,4843,4306,6453,2526,3940,7563,4532,3180,4059,4574,3419,5071,6205,2477,4583,4344,5394,3416,2271,5414,3499,4811,9413,5883,1828,6933,3227,3734,3461,3010,2334,14392,4106,2713,3592,4497,2426,6378,4572,3449,3930,2651,3292,3363
2018-07-31_y,470012,18675,9806,15395,10195,9036,8595,9998,10201,12663,7148,4242,7425,6422,9774,6818,7482,3443,4729,6798,3472,6203,3514,4093,5601,3478,3253,5096,3543,2751,3840,4600,2992,3688,1397,3399,3005,4608,2082,1861,3349,1751,2287,2294,1750,2578,1298,1277,3179,2007,1636,1460,2066,1678,844,1647,1032,1378,1321,1235,769,1685,1090,1124,1809,1655,855,1305,942,1279,1265,251,1435,1108,975,2297,1224,732,1856,796,1898,1061,499,807,2182,1812,605,1240,1286,972,1588,1561,633,1134,916,817,876
2018-08-31_x,1778632,91703,30220,59368,35089,30122,42086,26110,63481,40149,16635,8166,21165,21926,26100,13731,16760,10311,15981,20263,14840,17736,12270,12113,13789,9164,14484,14046,10200,14920,12714,11501,7690,8665,3029,11594,13856,11986,8183,4951,12792,6969,9289,5987,7085,6289,4494,3715,7933,7259,4701,4194,4539,4686,4336,6586,2603,4033,7368,4623,3223,4188,4572,3541,5184,6222,2591,4647,4261,5467,3518,2294,5418,3242,4873,8945,5944,1949,6804,3372,3910,3241,3073,2384,13715,4324,2819,3586,4527,2555,6370,4640,3356,3903,2656,3419,3477
2018-08-31_y,484951,20168,10305,14871,9997,8945,8530,9907,9865,12484,7594,4162,7631,6751,9586,6634,7307,3639,4565,6960,4637,6017,3605,4549,5995,3632,3330,5281,3470,2816,3788,4553,2938,3819,1472,3290,2985,4882,2256,1918,3212,1861,2525,2598,1735,2565,1345,1335,3199,2047,1797,1690,2135,1698,1017,1664,1152,1459,1349,1258,826,1762,1059,1152,1853,1672,918,1441,899,1134,1228,304,1559,1207,975,2487,1217,896,1892,940,1999,1167,445,794,2234,1887,701,1120,1438,1047,1831,1557,572,1202,907,833,808
2018-09-30_x,1767533,90473,30765,59210,35141,29338,41349,25707,62926,39923,16756,8452,21773,22020,25370,14268,16745,10588,15819,19922,14572,17801,11977,12324,13498,9286,14269,14098,10274,14795,12330,12148,7684,8758,3165,11270,13372,12083,8279,4932,12662,6931,9072,6017,6917,6161,4335,3784,7610,7132,4882,4176,4630,4536,4293,6525,2644,4067,7164,4582,3239,4214,4526,3564,5206,6163,2637,4626,4176,5362,3580,2321,5223,3011,4812,8572,5913,2044,6521,3385,3938,3061,3031,2377,13302,4457,2854,3482,4608,2654,6301,4649,3229,3842,2602,3430,3481
2018-09-30_y,383926,15781,7734,11914,7661,7340,6726,7548,8053,10511,5105,3280,6536,5607,8161,5280,6055,2727,3619,5577,3649,4805,2795,3462,4765,2823,2526,4348,3017,2178,2988,3708,2256,3187,1178,2456,2188,3874,1789,1419,2862,1512,2102,2105,1239,1789,1020,1149,2395,1598,1478,1111,1768,1426,866,1389,894,1161,947,1058,697,1463,794,937,1568,1352,659,991,693,969,893,256,1121,952,753,1871,924,704,1278,751,1526,885,400,568,1745,1400,471,840,1140,762,1436,1096,450,878,667,638,634
2018-10-31_x,1747062,89709,30990,58454,34278,29133,40317,25519,63433,39398,17161,8897,21959,22083,25597,14452,16463,10646,15649,19977,14420,17821,11712,12197,13220,9312,13888,14209,10204,14406,11716,11769,7611,8840,3274,10901,12994,12162,8314,4893,12440,6793,8772,6032,6846,6085,4215,3720,7573,6991,5057,4084,4593,4557,4216,6367,2670,4150,7020,4495,3212,4171,4465,3531,5143,6079,2628,4610,4112,5283,3626,2389,5044,2781,4672,8579,5856,2100,6520,3268,3793,2835,3038,2377,13406,4498,2824,3350,4692,2749,6296,4661,3139,3768,2538,3505,3510
2018-10-31_y,413966,17012,8614,12272,8007,7797,7118,8304,8925,10440,5316,3992,6559,6029,8630,5534,6892,3010,3992,5916,3788,5202,3003,3654,4740,3059,2649,4780,2850,2356,3156,3877,2574,3194,1268,2513,2367,4076,1929,1493,2961,1675,2225,2011,1422,2063,1081,1309,2588,1725,1501,1399,1971,1561,763,1421,977,1224,973,1087,699,1622,963,1071,1664,1452,798,1224,729,955,1072,257,1187,979,842,2056,1025,825,1602,918,1706,960,419,599,1726,1565,580,858,1331,852,1553,1245,442,897,792,656,634
2018-11-30_x,1690115,87476,30469,55696,33045,28514,38765,24616,64091,38198,16901,8788,21139,21951,25785,13745,15253,10418,15013,20052,14011,17087,11218,11553,12643,8819,13418,14097,9853,13760,10796,12096,7192,8571,3180,10392,12488,11992,8016,4697,12150,6523,8464,5934,6590,5838,4085,3482,7332,6701,4973,3838,4346,4644,4171,6039,2593,4013,6769,4274,3123,4038,4257,3370,4954,5884,2503,4475,4060,5180,3543,2394,4829,2686,4405,8857,5692,2040,6440,3037,3542,2721,2985,2280,13931,4339,2674,3123,4731,2656,6290,4530,3029,3669,2395,3539,3444
2018-11-30_y,362478,14844,7643,10739,6995,6909,6056,7477,8075,9703,5404,3453,5550,5530,7890,5032,5465,2795,3365,5853,3248,4431,2613,3322,4422,2656,2404,3975,2535,2091,2792,3455,2162,2681,1179,2275,2004,3474,1778,1233,2778,1364,1845,1770,1226,1798,915,1058,2565,1500,1332,1142,1542,1362,726,1334,906,1103,907,977,616,1230,784,951,1407,1286,637,1002,669,805,896,209,1035,904,742,2014,899,717,1253,661,1406,928,325,600,1845,1332,406,707,1148,825,1280,1171,373,807,673,613,563
2018-12-31_x,1593189,82261,28699,50854,31080,26942,37122,22276,64559,36428,15058,7639,19637,21271,25480,11900,13244,9787,13970,19933,13179,15252,10509,10392,11858,7933,12976,13789,9179,12746,9641,11937,6535,8013,2746,9790,11870,11529,7367,4331,11664,6295,8030,5633,6033,5394,3937,3128,7020,6267,4622,3440,3968,4687,4115,5641,2455,3619,6172,3962,2912,3711,3917,3130,4661,5599,2298,4164,3947,5038,3303,2381,4614,2566,3998,9214,5412,1886,6337,2740,3165,2532,2870,2085,14686,4004,2458,2768,4686,2440,6261,4270,2877,3547,2201,3480,3232
2018-12-31_y,341188,14676,7255,9404,7268,6538,6647,7452,8063,9525,4470,2824,4687,5012,7857,4594,4713,2525,3188,5520,3068,4336,2510,2795,4383,2296,2413,4351,2316,1898,2390,3269,2120,2656,955,2525,2117,3456,1449,1133,2810,1289,1805,1584,1193,1731,837,1068,2505,1450,1211,1045,1317,1367,,1201,932,1022,930,920,528,1077,709,831,1338,1318,607,951,710,726,858,236,1178,844,657,1998,856,725,1368,580,1351,872,322,534,1739,1067,401,618,1188,670,1468,1030,406,809,705,555,556
