Date,Midwest,Northeast,South,West
1/31/1996,80842.75581,98097.45,75984.85149,143311.5541
2/29/1996,81030.04651,97940.15,76158.73399,143317.7703
3/31/1996,80951.8046,97873.2,76254.58128,143401.1216
4/30/1996,81336.57471,97762.6375,76794.14634,143546.2432
5/31/1996,81700.22989,97723.9375,76993.60488,143647
6/30/1996,81832.42045,97702.775,77198.24878,143812.7895
7/31/1996,82599.8427,97679.9125,77433.77073,143990
8/31/1996,82943.69663,97703.6125,77829.64078,144299.4605
9/30/1996,83286.71111,97738.25,78042.53883,144634.8553
10/31/1996,83667.67778,97813.2875,78268.66505,145036.75
11/30/1996,84131.42391,97897.2125,78340.44444,145397.3421
12/31/1996,84549.16304,98035.55,78622.63768,145531.3117
1/31/1997,84925.30435,98158.925,78848.62981,142971.1786
2/28/1997,85285.3913,98421.8375,79130.27404,143321.0238
3/31/1997,85647.48913,98665.5125,79405.78846,143646.7143
4/30/1997,85774.76596,98917.775,79735.74038,144072.8452
5/31/1997,86154.25532,99122.17284,80036.55288,144542.2024
6/30/1997,87330.97895,99327.37037,80323.375,145040.9405
7/31/1997,87715.84211,99589.11111,80584.6875,145311.1294
8/31/1997,88072.76842,99807.08642,80881.84135,145723.8471
9/30/1997,88404.31579,100053.3333,81236.34615,146187.4706
10/31/1997,88897.28125,100278.2222,81580.51442,146599.7882
11/30/1997,89203.07292,100608.4444,82064.4067,147134.6706
12/31/1997,89504.30208,100927.9753,82379.35238,147675.5529
1/31/1998,89575.71134,101363.2222,82865.82381,148472.5176
2/28/1998,89999.59794,101702.4815,83301.94762,149258.7765
3/31/1998,90432.25773,102031.9877,83732.32857,150070.2941
4/30/1998,90716.9798,102244.4815,84084.98104,149751.9545
5/31/1998,91200.64,102526.4321,84272.1934,150991.3034
6/30/1998,91660.93,102833.5185,84616.9717,151447.8889
7/31/1998,92139.78,103115.4198,85010.59434,152126.0333
8/31/1998,92629.7,103799.5244,85351.5566,152840.3222
9/30/1998,93123.88,104238.3902,85706.28302,153523.1444
10/31/1998,93605.52,104769.7927,86067.01887,154242
11/30/1998,94042.21,105155.122,86383.08019,154853.5111
12/31/1998,94472.11,105517.6829,86650.41509,155435.8778
1/31/1999,94728.35644,105781.9512,86727.63679,154851.587
2/28/1999,95130.70297,106134.0244,86706.2723,155418.1957
3/31/1999,95537.9802,106538.7439,86758.42326,156037.5978
4/30/1999,95992.56436,107100.0976,87165.97685,156906.0761
5/31/1999,96397.16832,107690.5976,87828.89862,158255.2366
6/30/1999,97118.49515,108334.4512,88208.30876,159105.0753
7/31/1999,97386.88679,109090.7927,88472.9633,159940.3978
8/31/1999,98019.33333,109735.5488,88805.40367,160778.086
9/30/1999,98427.90741,110340.6098,89086.74429,161620.3118
10/31/1999,98834.23148,110828.6463,89372.6621,162264
11/30/1999,99132.58716,111479.7683,89685.89041,163430.0957
12/31/1999,99965.97273,112179.378,90022.19178,164673.3085
1/31/2000,100452.0818,112953.5122,90077.47297,165496.0947
2/29/2000,100915.1818,113762.8171,90457.96847,166680.6105
3/31/2000,101387.4,114588.6585,90862.40541,167788.2105
4/30/2000,101524.6486,115408.2195,90980.04018,168867.0105
5/31/2000,101718.7321,116143.4146,91319.19643,170117.5579
6/30/2000,102161.9196,116861.3049,91639.48214,171477.1579
7/31/2000,102669.0351,117531.1829,91779.26222,172858.2947
8/31/2000,103130.6724,118263.6829,92146.46222,174311.6947
9/30/2000,103620.1724,119012.8171,92531.67556,175821.0316
10/31/2000,104121.8017,119840.4634,92919.86222,177353.0211
11/30/2000,104641.6983,120678.1707,93517.6696,178855.0737
12/31/2000,105159.8103,120844.3133,94025.5815,180372.2632
1/31/2001,105670.1111,121725.9277,94535.28509,181971.9789
2/28/2001,106145.906,122569.3976,94985.5307,182693.449
3/31/2001,106183.8644,123421.5663,95393.49561,184670.798
4/30/2001,106611.1525,124228.4643,95799.0524,186137.1919
5/31/2001,107252.9832,125129.631,96142.28821,186798.8614
6/30/2001,108156.0496,125998.2619,96454.45852,187934.0099
7/31/2001,108574.5868,127024.9651,96754.24017,189041.2277
8/31/2001,109396.7317,127864.3605,97118.86522,190122.2475
9/30/2001,109800.7724,128716.2209,97394.66667,191194.4356
10/31/2001,110178.4919,129579.8256,97716.46753,192214.7426
11/30/2001,110574.0484,129963.7471,97968.06926,193147.7327
12/31/2001,110947.0887,130888.4368,98359.4569,194076.0792
1/31/2002,111318.8548,131868.954,98555.40948,194887.6535
2/28/2002,111385.1349,132901.4368,98825.06897,195826.495
3/31/2002,111772.3889,133949,99102.50431,196749.7723
4/30/2002,112189.7857,135023.5747,99407.57759,197811.604
5/31/2002,112570.9762,136045.4828,99749.54741,198261.2255
6/30/2002,112612.2441,137132.3678,100128.5129,198560.6893
7/31/2002,112850.2656,138280.046,100527.4353,199729.8077
8/31/2002,113072.7132,139424.6552,100894.309,200933.3365
9/30/2002,113291.8779,140523.8276,101102.7821,202131.9135
10/31/2002,113546.145,141650.023,101437.4103,203346.4423
11/30/2002,113872.9618,142886.8276,101789.7179,204759.1635
12/31/2002,114244.5802,144147.8046,102150.6496,208035.0952
1/31/2003,114462.4394,145389.8161,102337.4638,207661.3178
2/28/2003,114805.3333,146572.1609,102688.1404,208438.7407
3/31/2003,115138.25,147792.7816,103060.9234,209888.6111
4/30/2003,115469.7045,148989.1954,103473.0681,210755.9358
5/31/2003,115612.1926,150191.3793,103646.8136,212200.9633
6/30/2003,115950.8074,151353.1034,103978.3178,212614.9636
7/31/2003,116341.8,152532.2069,104309.9576,213544.0541
8/31/2003,116620.5912,153956.3678,104858.2743,214664.6607
9/30/2003,117198.438,155564.6552,105273.8354,216612.2411
10/31/2003,117834.6715,157260.5517,105719.4008,218260.4071
11/30/2003,118281.2899,158662.1264,106186.173,220258.823
12/31/2003,118706.4928,160005.3678,106678.8354,222281.8407
1/31/2004,119061.9348,161331.2299,107344.5336,222741.1739
2/29/2004,119407.4101,162841.8161,108057.6527,224152.7845
3/31/2004,119420.8662,164348.8851,108964.1909,226779.2241
4/30/2004,119960.1329,165914.7126,109573.917,229444.7845
5/31/2004,120607.3241,167722.5632,110165.6598,232346.7414
6/30/2004,121026.034,169612.9885,110809.7469,235583.3621
7/31/2004,121499.0811,171525.2644,111481.5744,239063.569
8/31/2004,121919.9195,173075.6552,112207.781,241324.3077
9/30/2004,122176.3933,174633.046,112973.8678,244477.9915
10/31/2004,122581.1854,176179.6437,113784.0494,247641.2906
11/30/2004,122886.8816,177996.4138,114616.0697,251158.265
12/31/2004,123469.0588,179813.5172,115329.3279,254235.5932
1/31/2005,122812.017,177111.5714,115407.5698,247964.084
2/28/2005,119777.0347,176879.8925,115223.5385,249259.7391
3/31/2005,118350.0818,176087.1474,114070.5035,248926.9306
4/30/2005,118119.2699,177756.1684,114960.6928,250113.1565
5/31/2005,118463.4229,179333.5579,115100.9833,253917.5467
6/30/2005,118875.693,180971.8842,115983.7096,257602.4533
7/31/2005,119496.9,182292.9479,116480.1344,260506.6821
8/31/2005,120007.1087,184018.0208,117414.049,261696.0261
9/30/2005,120478.5304,185617.7813,118637.7524,265386.0065
10/31/2005,120842.6087,187123.3854,119347.8279,268991.0196
11/30/2005,121276.9567,188537.3229,120309.5942,270259.6452
12/31/2005,121575.4242,189926.7604,121154.2071,273276.0774
1/31/2006,121819.8485,191132.25,122084.8285,276061.4452
2/28/2006,122062.368,192147.7604,122971.521,278719.5097
3/31/2006,122016.6207,193155,123710.8939,281138.1032
4/30/2006,121896.3532,194130.3646,124508.1318,283286.3613
5/31/2006,121756.4599,195042,125123.3974,285186.8581
6/30/2006,121850.173,195805.5938,125830.2436,286489.9423
7/31/2006,121786.7521,196382.7292,126505.3962,287834.4487
8/31/2006,121847.9454,196841.0521,127067.2013,288924.4038
9/30/2006,121625.5708,196390.9072,127678.9968,289003.5287
10/31/2006,121760.525,196551.8351,128132.3662,289357.7898
11/30/2006,121868.1042,196580.0825,128355.5206,289720.4204
12/31/2006,121956.7917,196556.6392,128594.75,289947.3057
1/31/2007,121935.1784,196613.7938,128823.8703,290244.3822
2/28/2007,122010.8506,196715.3814,129040.5918,290376.4713
3/31/2007,122245.9421,196832.3608,129241.8386,290589.414
4/30/2007,122049.8238,196420.7857,129106.1262,290648.1019
5/31/2007,122027.0082,196426.2347,129120.5994,290420.5223
6/30/2007,121932.041,196302.5408,129034.0379,289926.6051
7/31/2007,121729.6926,196115.9082,128896.7666,289294.6561
8/31/2007,121397.8571,196067.8673,128852.4416,288676.1083
9/30/2007,121336.2653,196124.0102,128690.3239,287906.9236
10/31/2007,121317.9714,196152.0714,128587.6792,286970.3885
11/30/2007,121205.098,196069.4694,128418.3774,285709.3057
12/31/2007,121117.0041,195845.0306,128207.8459,284113.2229
1/31/2008,119980.7632,195481.7857,126673.2606,276888.2651
2/29/2008,119803.3346,194959.9184,126197.864,274850.7952
3/31/2008,119578.3647,194304.2959,125779.6465,272403.6446
4/30/2008,119210.7293,193504.7245,125135.8795,269740.4036
5/31/2008,119128.161,192727.1837,125040.8078,267023.253
6/30/2008,118843.5506,191939.7041,124662.1257,264382.494
7/31/2008,118620.1798,191154.6735,124268.488,260617.6826
8/31/2008,118330.0524,190153.4898,123571.003,257742.7605
9/30/2008,118018.8914,189067.6939,123045.6806,254969.2395
10/31/2008,117668.97,187952.1531,122476.9672,252312.5509
11/30/2008,117349.2734,186917.8878,121903.7343,249476.1677
12/31/2008,116958.7566,184838.9899,121348.409,246845.2635
1/31/2009,116570.8652,183944.7273,120847.4239,244259.024
2/28/2009,116195.367,183094.9697,120347.9582,242023.503
3/31/2009,115798.0112,182224.5657,119823.4478,238742.3155
4/30/2009,115640.5037,181216.5152,118954.7262,236342.756
5/31/2009,115166.3993,180107.8687,118327.1875,234111
6/30/2009,114670.4739,179041.1111,117667.1399,232158.7976
7/31/2009,114167.5075,178116.8384,117051.3333,230539.6488
8/31/2009,113704.4067,177412.4444,116476.5863,228921.0536
9/30/2009,113307.306,176889.6768,115955.1131,227428.2083
10/31/2009,112956.2388,176532.2424,115464.5638,226217.4464
11/30/2009,112581.7918,176296.2828,115141.27,225087.1538
12/31/2009,112411.9963,176111.0303,114850.9466,224653.568
1/31/2010,112148.6125,175955.0404,114385.6746,224233.574
2/28/2010,112056.6052,175842.8889,114122.8935,223662.3905
3/31/2010,112009.2694,175757.6566,113937.8343,223401.8166
4/30/2010,112045.203,175817.1717,113805.5828,223265.9112
5/31/2010,112072.8561,175864.0707,113700.2456,223029.5385
6/30/2010,112035.3948,175935.9596,113543.6331,222377.6509
7/31/2010,111902.4539,175762.4343,113288.5148,221452.5799
8/31/2010,111638.2731,175441.6364,113116.4484,220514.9822
9/30/2010,111345.0923,174897.9495,112682.3382,219443.5799
10/31/2010,111046.5498,174276.4848,112327.6765,218225.568
11/30/2010,110743.6863,173515.3636,111888.0235,216780.7219
12/31/2010,110361.4428,172833.4949,111421.4882,215287.9586
1/31/2011,109962.4908,172121.8081,110905.2176,213890.503
2/28/2011,109542.2288,171492.3131,110457.4118,212536.7219
3/31/2011,109126.2103,170841.5859,109980.8176,211382.9824
4/30/2011,108695.8893,170205.0404,109500.4941,209462.7544
5/31/2011,108357.7675,169571.4646,109057.55,208111.0468
6/30/2011,108122.7122,168879.8586,108745.088,207077.0292
7/31/2011,108024.0148,168356.202,108531.7507,206262.5906
8/31/2011,108030.6605,167854.101,108378.5748,205643.3509
9/30/2011,108156.1654,167549.202,108252.9501,205184.3684
10/31/2011,108100.9963,167189.798,108084.4487,204748.3684
11/30/2011,107999.8529,166911.8081,107935.6246,204434.9123
12/31/2011,107947.7463,166551.4242,107806.9677,204180.7193
1/31/2012,107995.9414,166262.1818,107749.9444,204181.4503
2/29/2012,108021.989,164988.83,107726.7485,204321.4386
3/31/2012,108105.5495,164777.88,107758.1345,204585.1696
4/30/2012,108221.5788,164585.41,107850.2339,204977.0643
5/31/2012,108328.4176,164533.41,107966.8655,205634.3977
6/30/2012,108441.7582,164562.34,108047.2281,206452.807
7/31/2012,108523.8901,164602.96,108127.4795,207505.8655
8/31/2012,108643.5531,164735.56,108135.5948,208616.0117
9/30/2012,108837.3736,164835.78,108275.5364,209823.8713
10/31/2012,109105.4103,165061.09,108461.5219,211175.1754
11/30/2012,109417.5238,165323.39,108703.5277,212622.8889
12/31/2012,109715.2601,165662.16,108993.3907,214225.8772
1/31/2013,110017.6593,166006.89,109291.7405,215822.7953
2/28/2013,110334.1245,166310.93,109576.1691,217501.076
3/31/2013,110632.2125,166619.32,109892.0087,219382.3099
4/30/2013,110924.619,166947.44,110204.586,221444.4678
5/31/2013,111246.6154,167267.43,110533.5656,223557.3099
6/30/2013,111735.4691,167620.22,110886.586,225575.7895
7/31/2013,112142.08,168000.3,111273.3236,227498.6842
8/31/2013,112530.0691,168411.88,111713.4725,229523.2924
9/30/2013,112895.5345,168804.67,112158.3971,231523.2865
10/31/2013,113245.5273,169157.12,112593.0812,233435.9708
11/30/2013,113704.837,169484.25,113012.8145,235153.7778
12/31/2013,114089.3877,169709.49,113411.5159,236789.2456
