Region,RegionName,StateName,CountyName,CityName,ForecastedDate,ForecastYoYPctChange
Country,United States,,,,2022-04-30,11.8
Msa,"Aberdeen, SD",SD,,,2022-04-30,6.1
Msa,"Aberdeen, WA",WA,,,2022-04-30,17.7
Msa,"Abilene, TX",TX,,,2022-04-30,8.4
Msa,"Ada, OK",OK,,,2022-04-30,6.9
Msa,"Adrian, MI",MI,,,2022-04-30,12.8
Msa,"Akron, OH",OH,,,2022-04-30,10.2
Msa,"Alamogordo, NM",NM,,,2022-04-30,5.8
Msa,"Albany, GA",GA,,,2022-04-30,4.5
Msa,"Albany, NY",NY,,,2022-04-30,9.8
Msa,"Albany, OR",OR,,,2022-04-30,12.4
Msa,"Albemarle, NC",NC,,,2022-04-30,9.1
Msa,"Albert Lea, MN",MN,,,2022-04-30,13.4
Msa,"Albertville, AL",AL,,,2022-04-30,12.8
Msa,"Albuquerque, NM",NM,,,2022-04-30,11.3
Msa,"Alexandria, LA",LA,,,2022-04-30,2.0
Msa,"Alexandria, MN",MN,,,2022-04-30,10.9
Msa,"Alice, TX",TX,,,2022-04-30,9.1
Msa,"Allentown, PA",PA,,,2022-04-30,11.7
Msa,"Alma, MI",MI,,,2022-04-30,8.1
Msa,"Alpena, MI",MI,,,2022-04-30,6.1
Msa,"Altoona, PA",PA,,,2022-04-30,7.6
Msa,"Altus, OK",OK,,,2022-04-30,7.0
Msa,"Amarillo, TX",TX,,,2022-04-30,9.5
Msa,"Americus, GA",GA,,,2022-04-30,4.1
Msa,"Ames, IA",IA,,,2022-04-30,7.1
Msa,"Amsterdam, NY",NY,,,2022-04-30,7.5
Msa,"Anchorage, AK",AK,,,2022-04-30,3.0
Msa,"Andrews, TX",TX,,,2022-04-30,7.0
Msa,"Angola, IN",IN,,,2022-04-30,6.1
Msa,"Ann Arbor, MI",MI,,,2022-04-30,10.9
Msa,"Anniston, AL",AL,,,2022-04-30,7.5
Msa,"Appleton, WI",WI,,,2022-04-30,10.0
Msa,"Arcadia, FL",FL,,,2022-04-30,8.3
Msa,"Ardmore, OK",OK,,,2022-04-30,1.2
Msa,"Arkadelphia, AR",AR,,,2022-04-30,7.1
Msa,"Arkansas City-Winfield, KS",KS,,,2022-04-30,5.6
Msa,"Asheville, NC",NC,,,2022-04-30,11.3
Msa,"Ashland, OH",OH,,,2022-04-30,7.1
Msa,"Ashtabula, OH",OH,,,2022-04-30,7.6
Msa,"Astoria, OR",OR,,,2022-04-30,25.6
Msa,"Atchison, KS",KS,,,2022-04-30,5.8
Msa,"Athens, GA",GA,,,2022-04-30,8.7
Msa,"Athens, OH",OH,,,2022-04-30,8.0
Msa,"Athens, TN",TN,,,2022-04-30,10.7
Msa,"Athens, TX",TX,,,2022-04-30,16.6
Msa,"Atlanta, GA",GA,,,2022-04-30,13.6
Msa,"Atlantic City, NJ",NJ,,,2022-04-30,15.0
Msa,"Auburn, AL",AL,,,2022-04-30,7.4
Msa,"Auburn, IN",IN,,,2022-04-30,8.7
Msa,"Auburn, NY",NY,,,2022-04-30,7.4
Msa,"Augusta, GA",GA,,,2022-04-30,10.2
Msa,"Augusta, ME",ME,,,2022-04-30,20.8
Msa,"Austin, MN",MN,,,2022-04-30,12.8
Msa,"Austin, TX",TX,,,2022-04-30,26.8
Msa,"Bainbridge, GA",GA,,,2022-04-30,4.2
Msa,"Bakersfield, CA",CA,,,2022-04-30,12.4
Msa,"Baltimore, MD",MD,,,2022-04-30,10.1
