DATE,Personal Income
4/1/2016,16035.6
5/1/2016,16057.9
6/1/2016,16103.3
7/1/2016,16168.2
8/1/2016,16205.7
9/1/2016,16274.7
10/1/2016,16341.3
11/1/2016,16382.2
12/1/2016,16447.3
1/1/2017,16566.5
2/1/2017,16641.7
3/1/2017,16693
4/1/2017,16751.7
5/1/2017,16849.8
6/1/2017,16883.8
7/1/2017,16948.8
8/1/2017,17024.6
9/1/2017,17136.3
10/1/2017,17228.4
11/1/2017,17297.5
12/1/2017,17361
1/1/2018,17478.1
2/1/2018,17548.9
3/1/2018,17618.7
4/1/2018,17673.1
5/1/2018,17747.2
6/1/2018,17830.5
7/1/2018,17926.2
8/1/2018,17994.8
9/1/2018,18008.6
10/1/2018,18052.6
11/1/2018,18080.5
12/1/2018,18262.7
1/1/2019,18303.5
2/1/2019,18370
3/1/2019,18426.7
4/1/2019,18459.1
5/1/2019,18474.2
6/1/2019,18509.4
7/1/2019,18531.1
8/1/2019,18616.6
9/1/2019,18645.1
10/1/2019,18693.6
11/1/2019,18788.3
12/1/2019,18800.5
1/1/2020,18973.3
2/1/2020,19116.2
3/1/2020,18763.5
4/1/2020,21093.1
5/1/2020,20246.1
6/1/2020,20032.7
7/1/2020,20173.9
8/1/2020,19624.3
9/1/2020,19762.2
10/1/2020,19728.2
11/1/2020,19544.4
12/1/2020,19677.1
1/1/2021,21683.1
2/1/2021,20186.5
3/1/2021,24400.5
4/1/2021,21195.2
