DATE,PI
4/30/11,13226.3
5/31/11,13255.6
6/30/11,13319.9
7/31/11,13391
8/31/11,13409
9/30/11,13406.1
10/31/11,13423.3
11/30/11,13442.9
12/31/11,13572.4
1/31/12,13682.5
2/28/12,13799.6
3/31/12,13874.9
4/30/12,13945.8
5/31/12,13941.5
6/30/12,13953.2
7/31/12,13872.7
8/31/12,13877
9/30/12,13996.6
10/31/12,14141.4
11/30/12,14335.4
12/31/13,14701.1
1/31/13,14003.4
2/28/13,13994.1
3/31/13,14006.2
4/30/13,14061.1
5/31/13,14150.7
6/30/13,14193.1
7/31/13,14181
8/31/13,14227.8
9/30/13,14287.2
10/31/13,14279.6
11/30/13,14354.2
12/31/13,14434.6
1/31/14,14537.3
2/28/14,14638
3/31/14,14742.5
4/30/14,14813.5
5/31/14,14886.8
6/30/14,14972
7/31/14,15049.2
8/31/14,15126.8
9/30/14,15183.9
10/31/14,15249.3
11/30/14,15315.8
12/31/14,15385.4
1/31/15,15470.6
2/28/15,15555.4
3/31/15,15554
4/30/15,15609.8
5/31/15,15680.8
6/30/15,15723.3
7/31/15,15773.1
8/31/15,15812
9/30/15,15834.1
10/31/15,15870.4
11/30/15,15876.6
12/31/15,15930.8
1/31/16,15957.2
2/29/16,15958.5
3/31/16,15996.7
4/30/16,16035.6
5/31/16,16057.9
6/30/16,16103.3
7/31/16,16168.2
8/31/16,16205.7
9/30/16,16274.7
10/31/16,16341.3
11/30/16,16382.2
12/31/16,16447.3
1/31/17,16566.5
2/28/17,16641.7
3/31/17,16693
4/30/17,16751.7
5/31/17,16849.8
6/30/17,16883.8
7/31/17,16948.8
8/31/17,17024.6
9/30/17,17136.3
10/31/17,17228.4
11/30/17,17297.5
12/31/17,17361
1/31/18,17478.1
2/28/18,17548.9
3/31/18,17618.7
4/30/18,17673.1
5/31/18,17747.2
6/30/18,17830.5
7/31/18,17926.2
8/31/18,17994.8
9/30/18,18008.6
10/31/18,18052.6
11/30/18,18080.5
12/31/18,18262.7
1/31/19,18303.5
2/28/19,18370
3/31/19,18426.7
4/30/19,18459.1
5/31/19,18474.2
6/30/19,18509.4
7/31/19,18531.1
8/31/19,18616.6
9/30/19,18645.1
10/31/19,18693.6
11/30/19,18788.3
12/31/19,18800.5
1/31/20,18973.3
2/29/20,19116.2
3/31/20,18763.5
4/30/20,21093.1
5/31/20,20246.1
6/30/20,20032.7
7/31/20,20173.9
8/31/20,19624.3
9/30/20,19762.2
10/31/20,19728.2
11/30/20,19544.4
12/31/20,19677.1
1/31/21,21683.1
2/28/21,20186.5
3/31/21,24400.5
4/30/21,21195.2
