Date,Illinois (IL),Indiana (IN),Michigan (MI),Ohio (OH),Wisconsin (WI),Iowa (IA),Kansas (KS),Minnesota (MN),Missouri (MO),Nebraska (NE),North Dakota (ND),South Dakota (SD)
2015-01-31,116.14088961,113.53512074,95.84519556,103.97848364,120.897082,128.20895586,127.94449725,126.58890678,123.15503392,127.97168575,205.45236033,150.14438494
2015-02-28,116.29658845,114.08539529,96.143698379,104.07073693,121.41877761,128.4298994,128.5966122,126.85800395,123.58158871,128.44675293,205.78253908,150.69978644
2015-03-31,117.84029375,115.37208268,97.382186604,105.31148642,122.61329292,129.81867425,129.82628596,128.80606422,125.31115784,129.33651284,206.54365727,151.79895991
2015-04-30,120.16386946,116.86003165,99.157546319,107.07592572,124.14297204,131.68284687,131.32089594,131.76562466,127.43513344,130.8489323,207.67157933,153.16852674
2015-05-31,122.16112441,118.18573902,101.03023142,109.26992296,125.93529748,133.39018344,132.73725046,134.53453545,129.07137211,132.68059498,209.07087108,154.56525877
2015-06-30,123.39636174,119.1749389,102.22976137,111.05338692,127.36843839,134.60915977,133.74564479,136.45914384,130.23895763,134.06949823,210.53630631,155.80119098
2015-07-31,123.64340303,119.67867113,102.69386095,111.54062853,127.96449237,135.17848687,134.16076603,137.14688441,130.73987071,134.7604883,211.55117005,156.73685855
2015-08-31,123.17050187,119.61152352,102.82913183,111.19051907,128.02663662,135.25354466,134.16984158,137.03963211,130.49201367,134.91504068,211.96406356,157.22634346
2015-09-30,122.73699617,119.40190875,102.86761973,110.90858209,127.76146525,135.03022322,133.89037831,136.6607648,130.16767905,134.7222782,211.93842231,157.30812112
2015-10-31,122.38075753,119.06210443,102.84090604,110.71774103,127.43266998,134.7788796,133.35623935,135.92940925,130.02576388,134.40109693,211.72861064,157.33626585
2015-11-30,121.66856558,118.62036573,102.38497964,110.21320385,127.15083682,134.76705039,132.83862233,134.97785271,130.00510301,133.96491515,211.53548841,157.46569019
2015-12-31,120.77495239,118.16209373,101.59301543,109.56410521,126.62264306,134.64730635,132.64019849,134.01278624,130.05436056,133.41067125,211.21550746,157.75400903
2016-01-31,120.35211496,117.72354977,101.03504995,109.26358265,126.24171281,134.30707475,133.04999585,133.5298426,130.38093019,133.03191195,211.01100332,158.08464412
2016-02-29,121.13674569,117.92911222,101.37318725,109.70850974,126.74396821,134.39668393,134.13136096,134.07139371,130.9719134,133.33224773,211.29515117,158.31901711
2016-03-31,122.81091668,119.21422535,102.75766269,110.84111038,128.2524404,135.0668531,135.79659872,135.97707892,131.77528634,134.63394898,211.97105805,158.73344881
2016-04-30,124.54218588,121.29025213,104.6096858,112.49727712,130.12334713,136.13813232,137.63509225,138.84896874,133.17279978,136.6156177,212.92344466,159.59200261
2016-05-31,126.07578674,123.30022472,106.54571623,114.36498233,132.03839903,137.71668672,139.21106913,141.43069497,134.83708928,138.64215907,213.96094612,160.90820252
2016-06-30,127.31176361,124.58725069,108.24489971,115.74406642,133.73737015,139.32227193,140.14294545,143.08761114,136.14360418,140.09589584,214.87789335,162.4647786
2016-07-31,127.90718674,125.03645668,109.27413146,116.45616006,134.60353847,140.20841158,140.26995574,143.67944424,136.81327692,140.80145163,215.56872274,163.65288601
2016-08-31,127.70525693,124.97371403,109.30704552,116.68233484,134.73007274,140.29463671,139.88475086,143.43647323,136.96863092,140.83660521,215.78489409,164.21785425
2016-09-30,127.22132213,124.71600137,109.06443466,116.333298,134.44427123,139.78003247,139.41370198,143.02069347,137.04595012,140.21049036,215.50583959,164.22397659
2016-10-31,126.91822113,124.43947239,108.9443378,115.82834538,134.18992942,139.12183696,139.22141135,142.49401973,137.29887153,139.47752637,214.9393562,163.59934194
2016-11-30,126.66692852,123.94824073,108.72602276,115.44364388,133.76285801,138.76639401,139.29646209,141.90745458,137.28761062,139.24557148,214.39072976,162.61048945
2016-12-31,126.2228164,123.32459226,108.55596006,114.91071181,133.30356275,138.73565001,139.16715183,141.61437499,136.73485488,139.45818303,214.21786342,161.93457751
2017-01-31,126.01552609,123.14481025,108.56696885,114.52450692,133.41994124,138.99047758,139.06105602,141.86896256,136.26629143,139.98096737,214.51871339,162.03685868
2017-02-28,126.77987461,123.99788646,109.28417011,115.23269837,134.06715513,139.59874733,139.85345874,143.15244512,136.84614447,141.14114017,215.11310858,162.84611473
2017-03-31,128.50140633,125.86427203,110.89746667,116.87929572,135.49230559,140.61611535,141.60769956,145.44205146,138.58152641,143.06543954,215.74339007,164.35128961
2017-04-30,130.26227139,127.99345256,113.04837931,118.87196337,137.69479233,141.86511529,143.74861939,147.8701933,140.63603872,145.25511575,216.44014754,166.46076327
2017-05-31,131.50748053,129.67094478,114.9948805,121.04922476,139.76482426,143.13734333,145.71100201,149.9372934,142.4820955,147.33355891,217.27465849,168.5966202
2017-06-30,132.38509374,130.57675905,116.3034017,122.79260327,141.32914984,144.35531941,146.84715904,151.34513208,143.70916834,148.87712331,218.12054787,170.21065947
2017-07-31,133.05221035,131.13824985,117.10210061,123.41576251,142.30193849,145.35635602,146.97117663,151.76353084,144.20893322,149.5019405,218.79168486,171.13515028
2017-08-31,132.83323977,131.53138355,117.50476847,123.06057389,142.35910998,145.87246992,146.75758153,151.62587696,144.13095991,149.62351062,218.92417558,171.45895064
2017-09-30,132.03219111,131.48613914,117.33553484,122.73414398,141.96521855,145.82127731,146.51592989,151.31566415,143.81389265,149.6285721,218.38576773,171.3865028
2017-10-31,131.49087084,131.47444647,116.96062473,122.68956353,141.53202035,145.29823496,146.13854938,150.94816087,143.88260225,149.38638353,217.42269335,171.09811001
2017-11-30,130.76729188,131.63617892,116.68703621,122.32595705,141.04282314,144.46653222,145.86556418,150.55493988,144.014319,149.01363565,216.41215237,170.63732357
2017-12-31,130.41841024,131.61664091,116.46476949,121.80866983,140.56218509,143.83956525,145.88594858,150.12730455,143.83944939,148.8812855,215.82562795,170.40991737
2018-01-31,130.71670519,131.89021249,116.64086558,121.99313572,140.60770495,143.84834187,146.24636291,150.44994834,144.12097557,149.17676458,216.02515556,170.91892677
2018-02-28,131.4363881,132.98206179,117.67526881,123.20313738,141.77414773,144.54808472,147.20451008,152.19122396,145.40498423,150.06944093,217.0869993,172.09894563
2018-03-31,132.76589431,134.80043388,119.61038605,124.84281569,143.98740064,145.98263447,148.67188,154.59162086,147.32136016,151.51386169,218.73893195,173.62792851
2018-04-30,134.25621006,136.68682264,121.54709602,126.44518092,146.50852755,147.85847194,150.34809372,156.62728606,149.12643757,153.24433156,220.48991185,175.23419177
2018-05-31,135.63030979,138.21966846,123.02840215,127.99750837,148.54224474,149.67563941,152.02211908,158.32891628,150.53978873,155.04017058,221.69585135,176.79206764
2018-06-30,136.35762639,139.4586403,124.34761274,129.39917912,149.99669223,150.97177764,153.18965437,159.80824726,151.5909419,156.71019469,221.89448752,178.24417052
2018-07-31,136.29479294,140.24593442,125.21230495,130.08240193,150.65690089,151.59864416,153.57519275,160.66732767,152.03166468,157.76048782,221.3977113,179.29015531
2018-08-31,136.21709679,140.57311773,125.28802596,130.00938795,150.71719183,151.66837033,153.41785314,160.4760335,151.93626131,157.90463458,220.80478498,179.88931694
2018-09-30,136.08869259,140.7140655,125.00203998,129.8675487,150.79152434,151.43994924,153.18500935,159.67099742,151.77681197,157.44742852,220.28806646,180.35007035
2018-10-31,135.41166945,140.7734909,124.73014377,129.6851366,150.5775172,151.12934749,153.11724328,159.03482613,151.95513186,156.7933445,219.92965509,180.67180581
2018-11-30,134.49149626,140.60118512,124.30061492,129.16227012,149.90991135,150.68421785,152.92974205,158.52626303,151.99229874,156.18245872,219.95237959,180.62505765
2018-12-31,133.81663916,140.41745749,123.77309548,128.50259969,149.23294389,150.20385985,152.56330019,158.05988349,151.45303269,155.95336839,220.43902143,180.13631088
2019-01-31,133.62827421,140.78137398,123.89004296,128.53386786,149.19534349,149.83681971,152.72833996,158.11877704,151.16342948,156.60562662,221.2759218,179.71078417
2019-02-28,134.2283086,141.58148296,124.65053856,129.61669084,150.25175472,149.92510852,153.86074819,159.34158067,151.95721668,158.15103366,222.37315443,180.087985
2019-03-31,135.48560021,142.76684116,125.85033342,131.17898893,151.91387606,150.67935529,155.58690596,161.24741731,153.62841303,159.99849575,223.52083385,181.20785344
2019-04-30,136.98239683,144.50629246,127.62609742,132.78126575,153.57211836,152.06773615,157.31045283,163.23030928,155.60783954,161.76067386,224.54740884,182.53143868
2019-05-31,138.37635919,146.26819792,129.40840409,134.29971363,155.31190834,153.83504999,158.50735703,165.07519978,157.29583475,163.39589786,225.25228436,183.91449295
2019-06-30,139.02975452,147.55829435,130.50373343,135.62290527,157.07859293,155.29847581,159.07848385,166.42087071,158.07821626,164.65729866,225.55802922,185.26085083
2019-07-31,138.99121883,148.29512587,130.86788428,136.4190563,158.30218708,155.82640485,159.33177287,167.04015968,158.2273299,165.34945336,225.6924706,186.33308147
