Date,Connecticut (CT),Maine (ME),Massachusetts (MA),New Hampshire (NH),Rhode Island (RI),Vermont (VT),New Jersey (NJ),New York (NY),Pennsylvania (PA)
2015-01-31,130.29755787,150.24622312,145.16592358,137.67500651,149.82264405,158.94977301,153.02721531,155.56239123,151.74243211
2015-02-28,130.29836335,151.23208685,145.83540269,138.03134927,150.06752331,159.43046017,153.12858289,156.10254903,151.63099869
2015-03-31,130.57780072,152.22033405,146.46570487,138.54648282,150.32103206,160.32560954,153.28959863,156.7180636,151.42827849
2015-04-30,130.94015115,153.10686948,146.89716191,139.34662511,150.94841227,161.37008267,153.35790234,156.93814619,151.91314225
2015-05-31,131.27688794,153.79582592,147.52139089,140.10835895,151.68729335,162.5754818,153.55701949,157.3113839,152.43127725
2015-06-30,131.57600291,154.24977853,148.35514105,140.81051105,152.56470209,163.54662276,153.70837637,157.66120966,152.90966246
2015-07-31,131.71852871,154.40326525,149.45062721,141.57220843,153.25112315,163.3867588,153.97463205,158.15989162,153.3301756
2015-08-31,131.96362978,154.60189791,149.8468201,142.32811836,153.74030471,163.47821217,154.23234005,158.66066285,153.80754636
2015-09-30,131.71854373,154.87722819,150.11329003,142.78584664,154.37266039,163.71341673,154.34592257,159.33670977,154.33341646
2015-10-31,131.5033105,155.17426538,150.56212843,143.24845632,155.32068682,164.11879396,154.44661028,159.40405689,154.47794669
2015-11-30,131.51044845,155.53578529,151.40389553,143.4757595,156.31750172,164.33623252,154.58157735,159.72491166,154.53482562
2015-12-31,131.57409741,156.02597439,152.21160293,143.58924561,156.97818585,164.3162849,154.57197033,160.08500731,154.67615886
2016-01-31,131.7095108,156.65117523,152.66864905,143.79083403,157.25196852,164.0308253,154.93686629,160.59778955,154.97672274
2016-02-29,131.66848019,157.27031631,153.09545159,144.29417491,157.39016321,163.60980055,155.22772256,161.0240634,155.31618252
2016-03-31,131.48527193,157.80836308,153.65695286,144.92663098,158.03725725,163.34138338,155.39415508,161.32589301,155.60462152
2016-04-30,131.28734194,158.38529019,154.41031217,145.47403258,159.08296163,163.30203854,155.96705566,161.72184005,156.48397384
2016-05-31,131.16485157,158.76388144,155.13147346,145.90826581,159.96762137,163.56772758,156.55984151,162.73032645,157.11151181
2016-06-30,131.25981636,159.22887046,155.73703329,146.25896821,160.84310942,164.20073107,156.61772837,163.60484908,157.65772786
2016-07-31,131.39866297,159.90114718,156.64952189,146.72830361,161.80440399,164.79742302,156.74188825,164.31073629,158.18256324
2016-08-31,131.55720617,160.87953773,157.41114236,147.31937345,162.80262417,165.61502047,157.05042462,165.22797211,158.49583688
2016-09-30,131.81252421,161.94948631,158.41635096,147.7445333,163.78104973,165.89928013,157.52660354,166.31388588,158.91446207
2016-10-31,132.22821158,163.10948753,159.36561762,148.53577377,164.59651624,165.90715557,157.85010371,166.48670898,159.58748501
2016-11-30,132.60397998,164.16699142,160.08340915,149.57903118,165.27345699,166.02092159,158.1080259,167.12872736,160.30713428
2016-12-31,132.99832946,164.97598894,160.85225386,150.91332277,165.7910923,166.50052127,158.4561656,167.93164021,160.69017894
2017-01-31,133.30517837,165.48085745,161.7528372,152.12808689,166.3183563,167.36945247,158.99149651,168.42901473,161.02752425
2017-02-28,133.50972142,165.79565267,162.70766163,152.97258772,166.88655398,168.45469257,159.54648724,168.87064666,161.83347628
2017-03-31,133.79256139,166.14596708,163.48460315,153.49471505,167.74004252,169.46119938,160.42253941,170.0882801,162.50515256
2017-04-30,134.25046108,166.96458036,164.39299098,153.94153384,168.94242203,170.1366911,161.37000223,171.15927064,163.04485653
2017-05-31,134.63769714,168.01779105,165.59936824,154.54177,170.12878057,170.70524878,161.98656137,172.20079227,163.62679822
2017-06-30,134.90476178,169.16211182,166.14479746,155.35250075,171.19510742,171.19663388,162.42621654,173.08824092,164.11319079
2017-07-31,135.15828544,169.75747128,166.72848476,156.12138595,172.03215571,171.47566027,163.16427776,173.84941388,164.54155183
