Date,Delaware (DE),Florida (FL),Georgia (GA),Maryland (MD),North Carolina (NC),South Carolina (SC),Virginia (VA),District of Columbia (DC),West Virginia (WV),Alabama (AL),Kentucky (KY),Mississippi (MS),Tennessee (TN),Arkansas (AR),Louisiana (LA),Oklahoma (OK),Texas (TX)
2015-01-31,147.7093014,158.69459321,118.30456376,170.75910697,126.31953226,128.12044347,170.45885807,297.63215899,139.49876827,125.38232071,127.07656147,125.67285418,136.90252242,131.45221025,150.03529617,143.37852404,158.66063954
2015-02-28,147.90113426,159.77158287,119.04371649,171.04630894,127.3275689,128.96378153,170.46949566,299.11758106,140.07409176,125.76494557,127.45377864,125.58464236,137.3479339,131.31526966,150.673895,143.62440085,159.62570289
2015-03-31,148.33832002,160.75481828,119.776358,171.46051968,128.24481563,129.59353086,170.4609446,300.47590811,140.77398597,125.9796754,127.5792706,126.0723258,137.7456342,131.42668349,151.33592652,143.45924189,160.39731572
2015-04-30,149.06333442,161.54090564,120.29343443,171.64469931,128.57747238,130.1054703,170.63714996,302.0414521,141.45854161,126.06729945,127.73298684,126.4092658,138.16902814,131.62964661,151.78990048,143.64226826,161.24959556
2015-05-31,149.955546,163.11879295,120.91682251,171.8467849,128.86315437,130.76444247,171.08110911,303.70379856,141.90250322,126.21527055,127.89391188,126.57985453,138.77432383,132.15931027,152.29052191,144.6300589,161.86415505
2015-06-30,150.45870921,164.73978243,121.56038347,172.13498438,129.33797581,131.4435457,171.69622636,305.43716763,141.98136121,126.49436866,128.31471587,126.83606254,139.58518168,132.72392139,152.83021522,145.69470968,163.01054017
2015-07-31,150.58280818,166.36135696,122.16812071,172.3953556,129.95746008,131.81842911,172.25001679,307.38602334,141.66049712,126.91498001,128.80209367,127.26906728,140.40826534,133.29517104,153.41995552,146.08542637,164.16812684
2015-08-31,150.7905128,167.82732489,122.8503061,172.71421783,130.54736207,131.99530959,172.78213632,309.74928509,141.35994594,127.42114152,129.49140553,127.87630047,141.14097782,133.92886096,153.90610163,146.04982409,165.01291243
2015-09-30,151.43085177,169.17416945,123.60175604,172.73767943,131.03544883,132.44598992,173.39564042,311.94415256,141.19557312,127.69078033,129.97830336,128.50743201,141.71974342,134.58260447,154.20482975,146.1721006,165.8767434
2015-10-31,152.2408692,170.51976414,124.28617011,172.53277692,131.64393421,133.51162427,173.93140522,313.97226705,141.08933768,128.0975433,130.50344172,129.0003832,142.21073392,135.29861594,154.40524982,146.49443005,166.92240471
2015-11-30,153.15909624,171.99310368,124.87616452,173.41282189,132.3208961,134.7180764,174.16837809,315.98404168,141.20696838,128.37598557,131.09618914,129.51998661,142.68284315,135.44533248,154.67501523,146.84656527,167.80572703
